Entity ID,Entity,Latitude,Longitude,State (US & Canada only),Alt. 1,City,Government Affiliated?,Designer,Developer,Utility,Country of Origin,Technology Type,Funding Amount ($MM USD),Design Count,Source,Projects,Project Source,Additional Funds (USD millions)
83,KEPCO or KHNP,,,,,,,Yes,,,South Korea,Pressurized Water Reactor,0,3,,,,
167,UNIST,35.57,129.19,,,Ulsan,,,,,South Korea,Liquid Metal-Cooled Fast Reactor,0,1,https://aris.iaea.org/Publications/SMR_Book_2020.pdf,,,
129,Royal Institute of Technology (KTH),,,,,,,,,,Sweden,Fusion,0,2,,,,
172,Vattenfall,,,,,,Yes,,,,Sweden,SMR,0,0,,,,
9,ATMEA,,,,,,,Yes,,,Turkey,mid-sized pressurized water reactor,0,1,,,,
170,Urenco,,,,,,,,,,United Kingdom,Microreactor,0,1,,,,
8,Argonne National Laboratory,,,,,,,,,,United States,Microreactor,0,0,,,,
12,Babcock & Wilcox,,,,,,,Yes,,,United States,Water-Cooled,0,1,,,,
29,Columbia Basin Consulting Group,46.19,-119.16,Washington,,Kennewick,,Yes,,,United States,"TerraPower Traveling Wave Reactor, sodium cooled fast spectrum reactor",0,0,http://www.cbcgllc.com/,,,
38,Duke Energy,,,,,,,,,,United States,"Boiling Water Reactor, Pressurized Water Reactor",0,0,,,,
60,Global Energy Research Associates,43.07,-73.78,New York,,Saratoga Springs,,Yes,,,United States,Nanofuel,0,1,http://www.gera.co/about/index.html,,,
70,Idaho National Laboratory,,,,,,,Yes,,,United States,Microreactor,0,1,,,,
81,Kairos Power,37.75,-122.27,California,,Alameda,,Yes,,,United States,Molten Salt Reactor,"647,000,000",2,https://kairospower.com/,,,
89,Lockheed Martin,39.00,-77.11,Maryland,,Bethesda,No,Yes,,,United States,Fusion,0,1,http://www.lockheedmartin.com/us/products/compact-fusion.html,,,
100,National Ignition Facility (NIF),37.68,-121.78,California,,Livermore,,Yes,,,United States,Laser based Fusion Research,0,0,https://lasers.llnl.gov/,,,
113,Oak Ridge National Laboratory,,,,,,,Yes,,,United States,"X-10 Graphite Reactor, Fusion Reactor",0,0,,,,
119,Pittsburgh Technical,40.56,-80.02,Pennsylvania,,Allison Park,,,,,United States,,0,0,https://www.pit-tech.com/,,,
148,Swarthmore College,39.90,-75.35,Pennsylvania,,Swarthmore,,,,,United States,Laser Fusion Reactor,0,1,http://www.swarthmore.edu/news-events/fusing-energies,,,
165,UC Berkeley,,,,,,,,,,United States,Molten Salt Reactor,0,1,,,,
168,University of Rochester Laboratory for Laser Energetics,43.18,-77.68,New York,,Rochester,,,,,United States,Fusion,0,0,http://fsc.lle.rochester.edu/,,,
10,Atomic Energy of Canada Ltd (AECL),,,,,,,Yes,,,Canada,Small Modular Reactor,0,2,,,,
115,Ontario Power Generation,,,,,,,,,,Canada,"Small Modular Reactor, Micro Modular Reactor",0,0,,,,
161,Tsinghua University and CGN,,,,,,,,,,China,Water-Cooled,0,1,,,,
75,ITER,,,,,,https://www.iter.org/proj/inafewlines,,,,France,Fusion,0,0,,,,
149,Synthos Green Energy,,,,,Oświęcim,,,,,Poland,"Micro Modular Reactor, Small Modular Reactor",0,0,https://www.synthosgroup.com/en/synthos-green-energy-s-a-2/,,,
80,KAERI / K.A. CARE,,,,,,,Yes,,,South Korea,Water-Cooled,0,1,,,,
82,Kepco / KAERI,,,,,,,Yes,,,South Korea,Water-Cooled,0,1,,,,
85,Korea Nuclear Partners (KNP),,,,,,,,,,South Korea,,0,0,,,,
181,National Nuclear Laboratory (NNL),,,,,,,,,,United Kingdom,"Fission, Molten Salt Technology",0,0,,,,
120,Princeton Plasma Physics Laboratory,40.34,-74.70,New Jersey,,Princeton,,,,,United States,Fusion,0,1,http://www.pppl.gov/,,,
90,Los Alamos National Laboratory,35.88,-106.28,New Mexico,,Los Alamos,,Yes,,,United States,Fast Neutron Reactor,0,2,http://www.lanl.gov/,,,
138,Southern Company,,,,,,,,,Yes,United States,Molten Chloride Fast Reactor,0,0,,,,
